Code,Name,East,North
2230,2230,9683345.54621000000,4403110.54768000000
2231,2231,9687950.47201000000,4406840.39648000000
2233,2233,9674321.55882000000,4398132.59618000000
2234,2234,9670563.05030000000,4408168.30691000000
2250,2250,9693095.95508000000,4485408.81286000000
2251,2251,9709023.90627000000,4466359.33677000000
2256,2256,9696350.04477000000,4466497.61337000000
2257,2257,9703872.12383000000,4462544.61426000000
2258,2258,9704341.47452000000,4484770.79268000000
2259,2259,9708554.29180000000,4499008.64017000000
2260,2260,9713005.43001000000,4472047.91961000000
2261,2261,9715469.77680000000,4480145.21037000000
2262,2262,9723238.94208000000,4496049.86349000000
2263,2263,9722833.25181000000,4490042.57148000000
2264,2264,9717465.25143000000,4507094.25098000000
2265,2265,9715208.10347000000,4515347.72422000000
2267,2267,9728339.01702000000,4511204.21725000000
2278,2278,9726063.73137000000,4526266.53968000000
2280,2280,9736553.31118000000,4516129.03879000000
2281,2281,9732141.82058000000,4504803.75928000000
2282,2282,9734902.53431000000,4521039.23984000000
2283,2283,9726685.34397000000,4516837.14704000000
2284,2284,9731044.47804000000,4523736.26967000000
2285,2285,9733734.42966000000,4526714.63737000000
2287,2287,9735080.62760000000,4530589.42984000000
2289,2289,9740399.08454000000,4524611.10354000000
2290,2290,9739506.41483000000,4520721.91233000000
2291,2291,9743748.05818000000,4524210.46707000000
2292,2292,9743085.56771000000,4527064.38738000000
2293,2293,9745049.11022000000,4527730.01555000000
2294,2294,9745944.18452000000,4527972.02789000000
2295,2295,9749963.32551000000,4532021.91064000000
2296,2296,9744274.16666000000,4527896.65298000000
2297,2297,9744633.38595000000,4528610.32214000000
2298,2298,9741778.28695000000,4529143.75410000000
2299,2299,9740239.51710000000,4528672.46306000000
2300,2300,9746817.61386000000,4525915.33946000000
2302,2302,9745413.94806000000,4526277.37407000000
2303,2303,9744191.85050000000,4526380.64500000000
2304,2304,9743741.96139000000,4532404.50412000000
2306,2306,9737637.93763000000,4519606.33384000000
2307,2307,9739167.36838000000,4532004.73142000000
